CID	Name	Structure Path	Number of Atoms	Total Charge	HOMO-LUMO gap
1217098	2-chloro-5-[(2S,6S)-2,6-dimethylmorpholin-4-yl]sulfonyl-N-(3-hydroxyphenyl)benzamide	/Users/marcelmueller/source/randommolecules/example/1217098/1217098_opt.xyz	49	0	2.792
1217550	phenacyl 2-(4-bromophenyl)sulfanylacetate	/Users/marcelmueller/source/randommolecules/example/1217550/1217550_opt.xyz	34	0	1.958
1221462	N-(4-chlorophenyl)-2-[(5R)-2-(4-ethylanilino)-4-oxo-1,3-thiazol-5-yl]acetamide	/Users/marcelmueller/source/randommolecules/example/1221462/1221462_opt.xyz	44	0	2.956
1223268	N-[(3,4-dimethoxyphenyl)methylideneamino]-2-oxo-1H-quinoline-4-carboxamide	/Users/marcelmueller/source/randommolecules/example/1223268/1223268_opt.xyz	43	0	1.956
1237659	(1S,2S,4R)-N-[(1R)-2,2,2-trichloro-1-(2,4-dioxopyrimidin-1-yl)ethyl]bicyclo[2.2.1]heptane-2-carboxamide	/Users/marcelmueller/source/randommolecules/example/1237659/1237659_opt.xyz	39	0	3.485
1238913	1,3,7-trimethyl-8-(2-morpholin-4-yl-2-oxoethyl)sulfanylpurine-2,6-dione	/Users/marcelmueller/source/randommolecules/example/1238913/1238913_opt.xyz	43	0	3.093
1269933	(E)-2-(1,3-dithian-2-ylidene)-1-phenyl-5-thiophen-2-ylpent-4-ene-1,3-dione	/Users/marcelmueller/source/randommolecules/example/1269933/1269933_opt.xyz	40	0	1.915
1270662	(2E,7S)-5-amino-7-(1-methylpyrrol-2-yl)-2-[(1-methylpyrrol-2-yl)methylidene]-3-oxo-7H-[1,3]thiazolo[3,2-a]pyridine-6,8-dicarbonitrile	/Users/marcelmueller/source/randommolecules/example/1270662/1270662_opt.xyz	44	0	1.519
1283702	(5R)-5-(3-bromophenyl)-1-[2-(dimethylamino)ethyl]-4-[hydroxy-(4-methoxy-3-methylphenyl)methylidene]pyrrolidine-2,3-dione	/Users/marcelmueller/source/randommolecules/example/1283702/1283702_opt.xyz	55	0	1.698
1290847	ethyl 2-[[(4S)-3-cyano-5-[(2,4-dichlorophenyl)carbamoyl]-4-(furan-2-yl)-6-methyl-1,4-dihydropyridin-2-yl]sulfanyl]acetate	/Users/marcelmueller/source/randommolecules/example/1290847/1290847_opt.xyz	51	0	2.490
1301462	(5Z)-5-[[1-(2,3-dimethylphenyl)-2,5-dimethylpyrrol-3-yl]methylidene]-1-(furan-2-ylmethyl)-2-sulfanylidene-1,3-diazinane-4,6-dione	/Users/marcelmueller/source/randommolecules/example/1301462/1301462_opt.xyz	54	0	1.329
1319535	methyl (4S)-2-amino-4-[3-chloro-4-[(3-nitrophenyl)methoxy]phenyl]-7,7-dimethyl-5-oxo-6,8-dihydro-4H-chromene-3-carboxylate	/Users/marcelmueller/source/randommolecules/example/1319535/1319535_opt.xyz	61	0	1.403
1328981	(5Z)-3-(2-methylphenyl)-5-[(2-methylphenyl)methylidene]-2-sulfanylidene-1,3-thiazolidin-4-one	/Users/marcelmueller/source/randommolecules/example/1328981/1328981_opt.xyz	37	0	1.345
1332003	3-[(2R)-butan-2-yl]-5-[(4-fluorophenyl)methylidene]-2-sulfanylidene-1,3-thiazolidin-4-one	/Users/marcelmueller/source/randommolecules/example/1332003/1332003_opt.xyz	33	0	1.332
1344482	(5Z)-2-[4-(3-chlorophenyl)piperazin-1-yl]-5-[(4-methoxyphenyl)methylidene]-1,3-thiazol-4-one	/Users/marcelmueller/source/randommolecules/example/1344482/1344482_opt.xyz	48	0	2.107
1376856	4-(1-methylpyrrol-3-yl)-2,6-diphenylpyridine	/Users/marcelmueller/source/randommolecules/example/1376856/1376856_opt.xyz	42	0	2.753
1393213	3-[2-[2-(methylamino)phenyl]phenyl]propanoic acid	/Users/marcelmueller/source/randommolecules/example/1393213/1393213_opt.xyz	36	0	3.095
1395686	(2R)-2-[(6-hydroxy-1-naphthalen-1-yl-2,4-dioxopyrimidin-5-yl)methylideneamino]-3-(1H-indol-3-yl)propanoic acid	/Users/marcelmueller/source/randommolecules/example/1395686/1395686_opt.xyz	55	0	1.824
1397336	2-methyl-N-[[4-(4-methylsulfonylpiperazin-1-yl)phenyl]carbamothioyl]propanamide	/Users/marcelmueller/source/randommolecules/example/1397336/1397336_opt.xyz	49	0	1.983
1408596	2-ethoxy-4-[[3-[(4-methylphenyl)methylsulfanyl]-1,2,4-triazol-4-yl]iminomethyl]-6-nitrophenol	/Users/marcelmueller/source/randommolecules/example/1408596/1408596_opt.xyz	48	0	1.280
1427163	(1S)-1-[4-[(2-chlorophenyl)methoxy]-3-ethoxyphenyl]-2,3,4,9-tetrahydro-1H-pyrido[3,4-b]indol-2-ium	/Users/marcelmueller/source/randommolecules/example/1427163/1427163_opt.xyz	57	1	3.469
1431483	(3S)-N-[2-(1,3-benzodioxol-5-ylmethylamino)-2-oxoethyl]-N-benzyl-5-oxothiolane-3-carboxamide	/Users/marcelmueller/source/randommolecules/example/1431483/1431483_opt.xyz	52	0	3.540
1444581	(4-benzylpiperazin-1-yl)-(2-methyl-1-phenylbenzimidazol-5-yl)methanone	/Users/marcelmueller/source/randommolecules/example/1444581/1444581_opt.xyz	57	0	2.951
1456999	cyclohexyl-[(3R)-3-[3-[4-(dimethylamino)phenyl]-1,2,4-oxadiazol-5-yl]piperidin-1-yl]methanone	/Users/marcelmueller/source/randommolecules/example/1456999/1456999_opt.xyz	58	0	2.620
1467197	2-methoxy-N-[(1S,5S)-9-(thiophen-2-ylmethyl)-9-azabicyclo[3.3.1]nonan-3-yl]benzamide	/Users/marcelmueller/source/randommolecules/example/1467197/1467197_opt.xyz	52	0	2.541
1497158	4-[(3,4-diphenyl-1,3-thiazol-2-ylidene)amino]-N-(4-methylphenyl)-1H-imidazole-5-carboxamide	/Users/marcelmueller/source/randommolecules/example/1497158/1497158_opt.xyz	54	0	2.522
1499740	5-[2-(4-chlorophenyl)-2-oxoethoxy]-N-methyl-1-[(4-methylphenyl)methylideneamino]triazole-4-carboxamide	/Users/marcelmueller/source/randommolecules/example/1499740/1499740_opt.xyz	47	0	1.886
1511052	methyl 4-[(2R)-4-oxo-3-(2-propan-2-ylphenyl)-1,2-dihydroquinazolin-2-yl]benzoate	/Users/marcelmueller/source/randommolecules/example/1511052/1511052_opt.xyz	54	0	2.362
1512769	6-(benzimidazol-2-ylidene)-4-[[3-(dihydroxyamino)-2-hydroxyphenyl]methylideneamino]cyclohexa-2,4-dien-1-one	/Users/marcelmueller/source/randommolecules/example/1512769/1512769_opt.xyz	42	0	0.392
1522294	N-[2-(4-ethylpiperazin-1-yl)-2-oxoethyl]-4-methoxybenzamide	/Users/marcelmueller/source/randommolecules/example/1522294/1522294_opt.xyz	45	0	3.346
1535503	ethyl 3-(2-methoxyphenyl)-7-[(2-methylphenyl)methoxy]-4-oxochromene-2-carboxylate	/Users/marcelmueller/source/randommolecules/example/1535503/1535503_opt.xyz	57	0	2.206
1543448	1-[4-[(2S)-2-hydroxy-3-(4-hydroxy-2,2,6,6-tetramethylpiperidin-1-yl)propoxy]phenyl]ethanone	/Users/marcelmueller/source/randommolecules/example/1543448/1543448_opt.xyz	56	0	2.280
1547352	(5S)-4-[hydroxy-(3-methoxyphenyl)methylidene]-1-(3-imidazol-1-ylpropyl)-5-(4-methoxyphenyl)pyrrolidine-2,3-dione	/Users/marcelmueller/source/randommolecules/example/1547352/1547352_opt.xyz	58	0	1.834
1548189	N-[4-(4-iodophenyl)-1,3-thiazol-2-yl]-4-nitrobenzamide	/Users/marcelmueller/source/randommolecules/example/1548189/1548189_opt.xyz	34	0	1.395
1551678	2-(1-adamantylsulfanyl)ethylazanium	/Users/marcelmueller/source/randommolecules/example/1551678/1551678_opt.xyz	36	1	4.445
