Name	Structure Path	Number of Atoms	Total Charge
Ac_Ac1C8H10N2O3S1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C8H10N2O3S1/coord.xyz	25	1.0
Ac_Ac1C6H9N2O2P1S1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C6H9N2O2P1S1/coord.xyz	22	1.0
Ac_Ac1C10H14N1O8P1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C10H14N1O8P1/coord.xyz	35	1.0
Ac_AcKAs	/Users/marcelmueller/source/acqm/Ac/Ac_AcKAs/coord.xyz	3	-1.0
Ac_AcAlSb	/Users/marcelmueller/source/acqm/Ac/Ac_AcAlSb/coord.xyz	3	0.0
Ac_AcCaP	/Users/marcelmueller/source/acqm/Ac/Ac_AcCaP/coord.xyz	3	-2.0
Ac_Ac1C8H13N3O10	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C8H13N3O10/coord.xyz	35	-3.0
Ac_Ac1C7H5N4O3S1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C7H5N4O3S1/coord.xyz	21	0.0
Bk_BkMgAsI	/Users/marcelmueller/source/acqm/Bk/Bk_BkMgAsI/coord.xyz	4	2.0
Bk_Bk1C4H13N3O3S1	/Users/marcelmueller/source/acqm/Bk/Bk_Bk1C4H13N3O3S1/coord.xyz	25	1.0
Bk_Bk1Br1C3H6N1O4	/Users/marcelmueller/source/acqm/Bk/Bk_Bk1Br1C3H6N1O4/coord.xyz	16	1.0
Bk_Bk1C11F4H13N1O6P1	/Users/marcelmueller/source/acqm/Bk/Bk_Bk1C11F4H13N1O6P1/coord.xyz	37	0.0
Bk_Bk1Br1C9H11N5O2	/Users/marcelmueller/source/acqm/Bk/Bk_Bk1Br1C9H11N5O2/coord.xyz	29	0.0
Bk_BkKGe	/Users/marcelmueller/source/acqm/Bk/Bk_BkKGe/coord.xyz	3	0.0
Bk_BkH1Li3	/Users/marcelmueller/source/acqm/Bk/Bk_BkH1Li3/coord.xyz	5	0.0
Bk_BkBr3	/Users/marcelmueller/source/acqm/Bk/Bk_BkBr3/coord.xyz	4	0.0
Bk_BkBr4	/Users/marcelmueller/source/acqm/Bk/Bk_BkBr4/coord.xyz	5	0.0
Bk_BkH1	/Users/marcelmueller/source/acqm/Bk/Bk_BkH1/coord.xyz	2	0.0
Bk_Bk1C8H23N1O6P1	/Users/marcelmueller/source/acqm/Bk/Bk_Bk1C8H23N1O6P1/coord.xyz	40	0.0
Bk_BkCNaBeS	/Users/marcelmueller/source/acqm/Bk/Bk_BkCNaBeS/coord.xyz	5	-2.0
Bk_Bk1C7H11N4O5S1	/Users/marcelmueller/source/acqm/Bk/Bk_Bk1C7H11N4O5S1/coord.xyz	29	0.0
