CID,Method,Charge,Atom number,Atom type
mlm_C2H4Be1I2_79602e,EEQ,0.18632580330426962,1,1
mlm_C2H4Be1I2_79602e,EEQ,0.043160303079466944,2,1
mlm_C2H4Be1I2_79602e,EEQ,0.14751513902720292,3,1
mlm_C2H4Be1I2_79602e,EEQ,0.19527214327518883,4,1
mlm_C2H4Be1I2_79602e,EEQ,0.7107757887823898,5,4
mlm_C2H4Be1I2_79602e,EEQ,-0.12225679666396028,6,6
mlm_C2H4Be1I2_79602e,EEQ,-0.26495794723716015,7,6
mlm_C2H4Be1I2_79602e,EEQ,0.581788831244827,8,53
mlm_C2H4Be1I2_79602e,EEQ,0.522376735187775,9,53
mlm_H3N2B1As1Ba1Re1_fd02e3,EEQ,-0.12238290327196966,1,1
mlm_H3N2B1As1Ba1Re1_fd02e3,EEQ,0.2356911118953786,2,1
mlm_H3N2B1As1Ba1Re1_fd02e3,EEQ,0.2390647174710847,3,1
mlm_H3N2B1As1Ba1Re1_fd02e3,EEQ,-0.35633328995072855,4,5
mlm_H3N2B1As1Ba1Re1_fd02e3,EEQ,-0.8215430780867949,5,7
mlm_H3N2B1As1Ba1Re1_fd02e3,EEQ,-0.7751220646222569,6,7
mlm_H3N2B1As1Ba1Re1_fd02e3,EEQ,-0.18766683500516823,7,33
mlm_H3N2B1As1Ba1Re1_fd02e3,EEQ,1.0146000594317786,8,56
mlm_H3N2B1As1Ba1Re1_fd02e3,EEQ,0.7736922821386782,9,75
mlm_C2H2K1Ru1W1Rn1_a6048d,EEQ,-0.1573567132135093,1,1
mlm_C2H2K1Ru1W1Rn1_a6048d,EEQ,-0.14373912591859228,2,1
mlm_C2H2K1Ru1W1Rn1_a6048d,EEQ,-0.7110916292016773,3,6
mlm_C2H2K1Ru1W1Rn1_a6048d,EEQ,-0.6958155142746628,4,6
mlm_C2H2K1Ru1W1Rn1_a6048d,EEQ,0.7153284505411213,5,19
mlm_C2H2K1Ru1W1Rn1_a6048d,EEQ,0.3478296194955647,6,44
mlm_C2H2K1Ru1W1Rn1_a6048d,EEQ,0.2884604572057224,7,74
mlm_C2H2K1Ru1W1Rn1_a6048d,EEQ,-0.6436155446339669,8,86
mlm_C2H4Li1F2Hg1_be12d4,EEQ,0.022773461784032945,1,1
mlm_C2H4Li1F2Hg1_be12d4,EEQ,0.019783905348763176,2,1
mlm_C2H4Li1F2Hg1_be12d4,EEQ,0.026825359613020905,3,1
mlm_C2H4Li1F2Hg1_be12d4,EEQ,0.03397179450448495,4,1
mlm_C2H4Li1F2Hg1_be12d4,EEQ,0.6315999051704515,5,3
mlm_C2H4Li1F2Hg1_be12d4,EEQ,-0.420267982745413,6,6
mlm_C2H4Li1F2Hg1_be12d4,EEQ,-0.30060197582347814,7,6
mlm_C2H4Li1F2Hg1_be12d4,EEQ,-0.672479654198293,8,9
